Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Dylan DeMelo,"OTT, S.J, WPG",D,199,3077.6166666667,4,35,20,15,39,26.71,229,1.75,7.14,459,326,86,10,4,39,91,44,43,1,0,30,100,35,281,379,235,0,0,-
Connor Murphy,CHI,D,186,3044.05,10,29,12,17,39,31.71,288,3.47,9.61,602,381,149,25,12,28,61,29,28,1,0,32,101,36,360,403,262,0,0,-
Colin Miller,"BUF, VGK",D,198,3042.6,4,35,20,15,39,33.05,270,1.48,9.02,630,388,109,13,9,38,78,38,38,0,0,34,103,53,348,249,144,1,0,100.00
Robert Hagg,PHI,D,201,3025.8666666667,9,30,16,14,39,30.00,207,4.35,8.55,464,316,93,15,6,32,80,36,34,2,0,14,97,16,574,278,286,0,0,-
Ryan Murray,CBJ,D,127,2104.0166666667,2,37,17,20,39,41.94,118,1.69,6.23,258,169,77,17,3,9,16,8,8,0,0,1,52,29,63,129,172,0,0,-
Victor Rask,"CAR, MIN",C,163,1842.5833333333,17,22,11,11,39,57.35,175,9.71,12.85,313,246,156,53,14,20,26,13,13,0,0,13,49,65,126,124,46,635,633,50.08
Stefan Noesen,"N.J, PIT, S.J",R,153,1811.3166666667,19,20,13,7,39,68.42,245,7.76,23.53,374,328,224,122,14,17,39,18,17,1,0,21,30,66,272,179,72,42,71,37.17
Brian Boyle,"FLA, N.J, NSH",C,181,1789.3833333333,21,18,10,8,39,60.94,216,9.72,17.97,371,302,208,89,12,15,54,23,21,2,0,12,36,43,306,106,90,577,564,50.57
Brian Gibbons,"ANA, CAR, N.J, OTT","C, L",138,1436.25,16,23,17,6,39,66.10,116,13.79,10.22,200,161,110,58,7,8,34,17,17,0,0,14,37,53,68,129,66,29,38,43.28
Conor Garland,ARI,R,115,1270.8833333333,25,14,5,9,39,73.58,217,11.52,15.09,341,289,178,68,11,19,24,11,11,0,0,16,31,47,52,144,36,13,12,52.00
Marco Scandella,"BUF, MTL, STL",D,207,3373.1,14,24,11,13,38,30.40,254,5.51,9.22,543,352,111,17,7,22,63,30,29,1,0,12,106,46,192,203,191,0,0,-
Oscar Klefbom,EDM,D,189,3361.1666666667,6,32,12,20,38,32.20,387,1.55,13.76,751,531,153,27,10,33,42,20,20,0,0,10,116,64,114,332,326,0,0,-
Scott Mayfield,NYI,D,193,3138.25,9,29,13,16,38,33.93,250,3.60,10.09,641,380,142,20,5,40,104,45,41,4,0,27,153,33,266,198,249,0,1,0.00
Johnny Boychuk,NYI,D,196,3103.3833333333,7,31,17,14,38,32.76,359,1.95,10.81,756,514,125,13,10,49,47,22,21,1,0,12,123,27,371,333,273,0,0,-
Trevor van Riemsdyk,CAR,D,206,2918.05,7,31,12,19,38,33.63,260,2.69,9.59,498,365,108,21,5,38,22,11,11,0,0,8,64,73,83,191,202,0,0,-
MacKenzie Weegar,FLA,D,169,2560.9833333333,12,26,10,16,38,38.00,204,5.88,8.76,406,277,88,16,6,24,69,27,22,5,0,16,137,78,296,301,204,1,0,100.00
Jordan Weal,"ARI, MTL, PHI",C,181,2091.5833333333,13,25,14,11,38,58.46,208,6.25,18.94,355,288,220,107,2,22,34,15,15,0,0,14,38,60,76,181,70,406,373,52.12
Brendan Perlini,"ARI, CHI, DET",L,182,1985.9333333333,24,14,7,7,38,58.46,240,10.00,21.29,478,347,273,107,20,13,44,21,21,0,0,17,36,33,148,136,63,3,9,25.00
Lawson Crouse,ARI,L,158,1817.3666666667,19,19,15,4,38,66.67,227,8.37,20.04,374,312,208,105,12,23,49,17,12,5,0,31,45,48,508,145,60,45,57,44.12
Jason Dickinson,DAL,C,159,1770.4833333333,12,26,13,13,38,62.30,172,6.98,15.31,296,231,183,86,8,16,30,15,15,0,0,24,54,63,237,205,79,420,496,45.85
Ryan Spooner,"BOS, EDM, NYR, VAN",C,111,1240.7666666667,14,24,12,12,38,79.17,133,10.53,9.91,201,167,113,46,7,9,0,0,0,0,0,10,44,24,104,73,22,132,147,47.31
Nick Jensen,"DET, WSH",D,229,3481.15,2,35,19,16,37,27.41,243,0.82,10.23,509,331,133,26,12,20,49,23,22,1,0,23,132,70,177,505,199,0,0,-
Deryk Engelland,VGK,D,202,3212.3666666667,8,29,18,11,37,27.82,240,3.33,7.74,506,342,94,11,8,20,53,25,24,1,0,8,76,54,379,310,260,0,0,-
Nick Holden,"BOS, NYR, VGK",D,195,3152.9166666667,11,26,11,15,37,28.03,234,4.70,9.95,544,350,131,19,9,26,30,15,15,0,0,12,92,62,348,336,187,0,0,-
Matthew Benning,EDM,D,186,2561.9833333333,10,27,14,13,37,31.90,216,4.63,8.77,445,320,90,9,4,27,68,31,29,2,0,18,112,35,312,304,150,0,0,-
Travis Dermott,TOR,D,157,2434.05,9,28,8,20,37,32.74,209,4.31,7.41,412,278,96,11,11,19,38,19,19,0,0,22,119,53,213,295,128,0,0,-
Luke Glendening,DET,"C, R",207,2411.7833333333,18,19,13,6,37,56.06,220,8.18,22.5,357,311,241,127,8,22,22,11,11,0,0,16,40,36,456,255,184,1126,814,58.04
Nate Thompson,"L.A, MTL, OTT, PHI",C,217,2270.7666666667,10,27,13,14,37,56.92,161,6.21,13.7,292,219,151,77,11,22,49,23,22,1,0,10,62,57,324,210,99,972,764,55.99
Tobias Rieder,"ARI, CGY, EDM, L.A","C, R",200,2214.5333333333,11,26,19,7,37,67.27,256,4.30,22.97,445,356,251,131,18,30,14,7,7,0,0,19,22,59,185,227,90,31,71,30.39
Ryan Carpenter,"CHI, S.J, VGK",C,189,2062.6833333333,12,25,9,16,37,52.86,244,4.92,23.41,402,337,259,142,14,21,27,12,11,1,0,18,55,61,304,264,61,503,531,48.65
Cedric Paquette,T.B,C,197,1979.4333333333,20,17,9,8,37,56.06,213,9.39,20.46,367,290,272,112,7,19,88,40,38,2,0,30,24,36,546,239,105,842,806,51.09
Denis Malgin,"FLA, TOR",C,145,1657.4833333333,19,18,11,7,37,59.68,164,11.59,14.68,295,223,167,69,8,14,26,13,13,0,0,17,45,66,120,143,52,138,208,39.88
Kyle Brodziak,"EDM, STL",C,151,1602.95,13,24,12,12,37,69.81,167,7.78,13.41,277,226,144,58,11,16,32,16,16,0,0,11,33,59,171,123,81,760,667,53.26
Ilya Kovalchuk,"L.A, MTL, WSH",L,110,1444.0333333333,15,22,14,8,37,72.55,163,9.20,13.8,276,212,171,67,12,16,18,9,9,0,0,18,54,29,74,54,34,20,28,41.67
