Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Ryan Ellis,NSH,D,175,3122.1833333333,13,56,24,32,69,40.35,253,5.14,9.72,529,358,108,15,9,29,30,15,15,0,0,21,96,71,128,189,255,0,0,-
Jordan Staal,CAR,C,197,2673.85,26,43,22,21,69,63.30,312,8.33,33.29,512,407,362,190,16,38,52,26,26,0,0,23,87,105,412,272,59,1439,1154,55.50
Pat Maroon,"EDM, N.J, STL, T.B",L,212,2616.0166666667,31,38,20,18,69,60.53,273,11.36,27.99,470,382,291,156,6,39,117,41,31,9,1,30,64,58,383,263,32,17,15,53.13
Cody Eakin,"VGK, WPG",C,207,2519.5,31,38,22,16,69,69.00,240,12.92,21.77,416,325,252,103,22,25,46,23,23,0,0,28,78,108,181,239,79,1055,991,51.56
Vinnie Hinostroza,"ARI, CHI","C, L, R",190,2363.6333333333,22,47,23,24,69,79.31,328,6.71,27.78,571,418,297,134,20,44,28,14,14,0,0,35,60,81,135,254,82,92,142,39.32
Kasperi Kapanen,TOR,R,185,2302.0666666667,30,39,17,22,69,69.00,307,9.77,26.69,545,425,319,130,27,24,33,14,13,1,0,20,68,69,208,164,33,2,9,18.18
Anthony Duclair,"ARI, CBJ, CHI, OTT",L,196,2223.75,33,36,22,14,69,73.40,291,11.34,25.85,492,386,302,142,24,41,32,15,15,0,0,32,59,63,117,211,89,5,12,29.41
Mattias Ekholm,NSH,D,229,4163.2333333333,15,53,30,23,68,36.56,345,4.35,14.16,722,499,179,29,12,32,74,37,37,0,0,31,144,93,164,239,240,0,1,0.00
Zach Werenski,CBJ,D,222,4054.3666666667,28,40,20,20,68,37.16,422,6.64,21.44,789,579,235,62,14,43,32,16,16,0,0,16,117,83,147,206,203,0,0,-
John Klingberg,DAL,D,204,3757.8166666667,12,56,27,29,68,47.22,336,3.57,13.9,757,477,191,27,7,50,36,18,18,0,0,18,192,68,109,360,224,0,0,-
Jimmy Vesey,"BUF, NYR",L,224,2777.4333333333,35,33,22,11,68,61.26,311,11.25,33.81,558,431,354,189,20,38,25,11,10,1,0,23,93,103,198,175,76,18,36,33.33
Patric Hornqvist,PIT,R,191,2419,36,32,18,14,68,64.76,427,8.43,40.53,642,549,412,221,22,48,81,31,28,1,2,39,28,57,360,366,134,27,25,51.92
Scott Laughton,PHI,"C, L",212,2379.4666666667,29,39,22,17,68,73.12,272,10.66,24.09,443,359,248,129,18,30,88,37,34,2,1,36,80,64,373,152,76,703,607,53.66
Joe Thornton,S.J,C,190,2489.1833333333,18,49,28,21,67,65.05,163,11.04,14.88,265,217,162,71,5,22,40,20,20,0,0,21,95,118,59,72,55,792,752,51.30
Jesper Bratt,N.J,L,185,2158.9166666667,27,40,28,12,67,71.28,231,11.69,18.14,371,306,195,93,13,20,14,7,7,0,0,29,57,51,101,137,61,8,16,33.33
Dmitry Orlov,WSH,D,233,4359.5666666667,15,51,23,28,66,34.55,271,5.54,12.97,586,394,171,22,11,34,74,37,37,0,0,33,166,133,334,201,252,0,0,-
Jared Spurgeon,MIN,D,205,3613.55,22,44,21,23,66,44.00,271,8.12,11.99,576,385,154,42,8,37,38,19,19,0,0,13,45,42,186,218,254,1,0,100.00
Travis Zajac,N.J,C,212,2777.6333333333,27,39,14,25,66,65.35,219,12.33,22.8,354,289,227,114,10,25,42,21,21,0,0,20,55,96,172,149,79,1439,1168,55.20
Jeff Petry,MTL,D,235,4127.3666666667,16,49,27,22,65,36.72,354,4.52,16.05,853,536,199,43,14,47,58,29,29,0,0,20,247,82,450,366,245,0,0,-
Seth Jones,CBJ,D,209,4021.95,17,48,27,21,65,37.36,429,3.96,17.98,845,615,195,33,18,34,62,31,31,0,0,22,132,123,228,273,290,0,0,-
Damon Severson,N.J,D,227,3900.9666666667,21,44,30,14,65,40.88,259,8.11,13.22,505,352,143,31,10,31,80,36,35,0,1,25,162,67,240,184,209,0,0,-
Adrian Kempe,L.A,"C, L",231,2742.1333333333,28,37,19,18,65,73.03,284,9.86,22.77,513,384,263,98,13,21,100,45,44,0,1,26,65,59,228,163,52,576,850,40.39
Derick Brassard,"COL, FLA, NYI, OTT, PIT",C,208,2662.75,29,36,20,16,65,59.09,303,9.57,25.88,487,389,300,143,18,32,69,29,27,1,1,24,88,96,301,179,62,864,863,50.03
Calle Jarnkrok,NSH,C,211,2563.95,28,37,17,20,65,61.32,283,9.89,24.71,509,392,283,116,21,23,30,15,15,0,0,23,30,52,118,190,58,364,340,51.70
Carl Hagelin,"L.A, PIT, WSH",L,197,2426.9166666667,19,46,24,22,65,59.09,338,5.62,27.76,535,440,289,136,20,43,56,28,28,0,0,26,57,76,183,202,58,31,51,37.80
Anthony Cirelli,T.B,C,168,2037.6833333333,27,38,26,12,65,61.32,215,12.56,22.54,376,294,261,143,13,27,48,17,14,2,1,32,34,81,190,211,64,763,786,49.26
Jake Gardiner,"CAR, TOR",D,212,3651.4333333333,9,55,26,29,64,40.25,237,3.80,9.86,596,360,135,17,12,32,74,36,36,0,0,14,170,84,143,326,201,0,1,0.00
Mikhail Sergachev,T.B,D,224,3328.8,14,50,26,24,64,38.10,292,4.79,13.9,655,428,185,31,11,41,86,39,37,2,0,14,116,46,265,319,215,0,1,0.00
Erik Gustafsson,"CGY, CHI",D,180,3123.75,18,46,22,24,64,40.25,245,7.35,11.2,526,354,128,20,8,25,59,28,27,1,0,11,143,58,205,309,204,0,1,0.00
Radek Faksa,DAL,C,226,2896.7666666667,31,33,21,12,64,62.75,281,11.03,29.74,490,381,316,182,14,43,81,35,32,3,0,31,63,98,266,310,129,1204,1176,50.59
Jonathan Drouin,MTL,"C, L",185,2431.8666666667,24,40,26,14,64,68.09,283,8.48,21.78,502,380,261,99,19,25,58,28,28,0,0,19,91,105,129,113,49,370,528,41.20
Brady Tkachuk,OTT,L,142,2007.4333333333,34,30,23,7,64,68.82,373,9.12,38.52,616,497,394,216,24,58,98,38,33,4,1,47,61,54,451,243,65,163,159,50.62
Micheal Ferland,"CAR, CGY, VAN",L,162,1950.4333333333,25,39,32,7,64,65.31,243,10.29,25.67,416,341,264,148,11,40,61,22,17,5,0,21,66,67,380,134,48,40,70,36.36
Ondrej Kase,"ANA, BOS",R,151,1906.8,32,32,23,9,64,73.56,328,9.76,26.46,556,442,288,115,29,17,22,11,11,0,0,39,68,72,56,161,54,14,52,21.21
Jake Virtanen,VAN,R,214,2555.7,30,33,19,14,63,71.59,369,8.13,30.29,662,536,349,128,30,40,84,37,36,0,1,37,78,125,402,211,88,11,33,25.00
Andrew Copp,WPG,C,214,2531.4166666667,25,38,18,20,63,61.76,264,9.47,25.3,466,358,268,139,17,27,24,12,12,0,0,22,73,74,217,201,74,665,557,54.42
Ryan Pulock,NYI,D,218,3742.65,13,49,22,27,62,35.84,401,3.24,15.45,808,539,178,31,14,42,36,18,18,0,0,13,133,59,338,260,296,0,0,-
Justin Braun,"PHI, S.J",D,221,3708.7,9,53,27,26,62,47.33,273,3.30,8.17,594,397,99,15,10,43,66,33,33,0,0,12,103,71,308,395,262,0,0,-
Vladislav Namestnikov,"COL, NYR, OTT, T.B","C, L",224,2775.3666666667,27,35,14,21,62,57.41,272,9.93,29.83,469,360,319,170,14,34,91,39,37,1,1,35,87,72,305,260,130,245,311,44.06
Nick Bjugstad,"FLA, PIT",C,159,2048.1166666667,30,32,17,15,62,67.39,334,8.98,30.36,526,440,319,146,16,43,54,27,27,0,0,28,80,82,221,169,50,338,375,47.41
Duncan Keith,CHI,D,225,4079.45,5,56,17,39,61,35.26,330,1.52,11.74,717,441,158,14,11,30,61,29,28,1,0,7,171,79,91,218,328,0,0,-
Noah Hanifin,"CAR, CGY",D,229,3858.8333333333,14,47,20,27,61,38.36,317,4.42,15.81,686,467,181,41,9,37,37,17,16,1,0,10,184,108,229,192,203,0,0,-
Kyle Turris,"NSH, OTT",C,193,2448.7833333333,18,43,30,13,61,59.22,226,7.96,20.23,423,317,234,94,11,33,53,25,24,1,0,24,67,67,60,142,67,843,845,49.94
Matt Calvert,"CBJ, COL",L,201,2298.9666666667,23,38,22,16,61,67.78,274,8.39,26.44,443,340,299,142,15,34,63,25,22,3,0,26,43,68,223,271,82,45,74,37.82
Frank Vatrano,"BOS, FLA",C,191,2249.2666666667,34,27,13,14,61,76.25,372,9.14,28.54,590,478,295,116,25,40,74,37,37,0,0,44,47,69,281,193,115,31,51,37.80
Thomas Vanek,"CBJ, DET, VAN",L,144,1652.65,28,33,24,9,61,81.33,203,13.79,18.7,343,269,186,84,11,20,44,22,22,0,0,9,53,42,70,46,29,10,30,25.00
Ivan Provorov,PHI,D,233,4317.4166666667,23,37,15,22,60,32.26,356,6.46,16.63,697,466,193,48,17,43,50,25,25,0,0,25,195,43,302,351,301,0,0,-
Oliver Ekman-Larsson,ARI,D,229,4017.95,17,43,23,20,60,41.96,353,4.82,16.06,797,525,218,36,17,43,80,38,38,0,0,30,125,61,385,364,155,0,0,-
Josh Anderson,CBJ,R,171,2388.0833333333,36,24,12,12,60,54.05,408,8.82,33.89,679,538,398,169,24,28,67,32,31,1,0,36,45,72,372,193,61,33,56,37.08
Marcus Foligno,MIN,L,218,2346.3,24,36,18,18,60,68.18,234,10.26,22.88,376,317,227,135,10,33,98,39,34,4,1,34,39,64,554,198,105,24,22,52.17
Nick Ritchie,"ANA, BOS",L,184,2255.2166666667,21,39,21,18,60,63.83,248,8.47,27.97,464,388,288,160,18,32,123,52,49,1,2,19,67,34,429,187,71,9,19,32.14
Dominik Kahun,"BUF, CHI, PIT",C,138,1707.15,21,39,26,13,60,68.97,202,10.40,15.72,308,249,184,78,11,15,12,6,6,0,0,9,30,49,17,89,45,42,54,43.75
Drew Doughty,L.A,D,231,4509.45,6,53,26,27,59,36.65,264,2.27,11.01,593,390,136,26,10,43,78,39,39,0,0,16,196,41,342,307,249,0,1,0.00
Valtteri Filppula,"DET, NYI, PHI",C,223,2721.1,24,35,21,14,59,67.05,169,14.20,16.24,275,220,196,94,8,14,46,23,23,0,0,26,91,67,59,155,97,997,1017,49.50
Alex Galchenyuk,"ARI, MIN, MTL, PIT","C, L",213,2499.1,23,36,23,13,59,76.62,275,8.36,25.69,515,386,294,131,15,47,54,27,27,0,0,26,91,56,141,207,84,231,244,48.63
Bobby Ryan,OTT,R,164,2069.7,21,38,23,15,59,67.82,231,9.09,18.63,480,349,232,96,14,27,44,19,17,2,0,23,80,73,198,149,111,19,25,43.18
Matt Niskanen,"PHI, WSH",D,216,3803.8,14,44,19,25,58,34.12,328,4.27,11.07,659,451,141,17,13,46,75,36,35,1,0,17,159,59,348,350,235,0,0,-
Shea Theodore,VGK,D,211,3609.8833333333,20,38,18,20,58,41.43,410,4.88,16.96,839,566,248,31,22,53,42,20,20,0,0,21,130,135,71,265,203,1,0,100.00
Jacob Trouba,"NYR, WPG",D,207,3598.2833333333,9,49,25,24,58,36.71,372,2.42,14.39,788,536,160,31,12,45,89,43,42,1,0,22,167,92,305,204,325,0,0,-
Ryan McDonagh,"NYR, T.B",D,195,3311.5666666667,10,48,25,23,58,34.73,218,4.59,11.21,468,314,151,32,12,25,50,25,25,0,0,18,130,89,159,169,278,0,0,-
Torey Krug,BOS,D,201,3162.2833333333,13,45,20,25,58,42.96,302,4.30,12.39,669,449,149,21,8,30,56,28,28,0,0,33,127,65,148,239,162,0,0,-
Blake Comeau,"COL, DAL",L,211,2695.0166666667,23,35,20,15,58,74.36,262,8.78,20.75,460,347,244,108,16,35,78,39,39,0,0,30,82,87,429,176,68,113,158,41.70
Brock McGinn,CAR,L,230,2659.5666666667,22,36,18,18,58,64.44,328,6.71,35.71,656,492,392,200,22,38,41,19,18,1,0,47,68,90,338,249,56,42,62,40.38
Andrew Cogliano,"ANA, DAL","C, L",226,2621.9166666667,15,43,31,12,58,72.50,310,4.84,27.18,521,418,292,133,21,32,73,34,33,1,0,27,81,61,231,167,71,43,53,44.79
Michael Frolik,"BUF, CGY",R,192,2382.65,22,36,18,18,58,67.44,335,6.57,23.61,568,454,307,122,23,32,64,32,32,0,0,20,95,93,134,234,61,47,63,42.73
Bryan Little,WPG,C,171,2161.5,20,38,22,16,58,69.05,195,10.26,17.41,335,254,207,100,11,22,38,19,19,0,0,31,37,57,111,98,45,984,825,54.39
Tyler Ennis,"EDM, MIN, OTT, TOR","C, L, R",194,2101.6,27,31,20,11,58,73.42,286,9.44,27.31,481,403,284,151,15,42,22,11,11,0,0,30,40,70,187,231,69,10,17,37.04
Andrei Svechnikov,CAR,R,150,1881.9,26,32,10,22,58,63.74,274,9.49,29.15,454,369,293,156,24,44,76,38,38,0,0,23,107,58,226,219,50,1,4,20.00
Andrew Shaw,"CHI, MTL","C, R",140,1767.6833333333,22,36,21,15,58,67.44,218,10.09,22.53,364,291,243,134,9,32,112,44,40,2,2,26,57,41,267,256,62,281,304,48.03
Nick Cousins,"ARI, MTL, VGK",C,217,2620.9166666667,22,35,18,17,57,61.96,346,6.36,29.1,548,431,310,154,19,46,72,33,31,2,0,55,58,83,311,384,117,333,415,44.52
Mathieu Perreault,WPG,"C, L",201,2266.8833333333,26,31,11,20,57,66.28,253,10.28,22.41,429,339,253,108,14,25,60,30,30,0,0,36,45,83,311,135,66,53,39,57.61
Paul Byron,MTL,L,167,2022.85,30,27,18,9,57,64.77,193,15.54,22.65,311,262,241,153,9,24,28,11,9,2,0,28,62,50,274,160,79,35,54,39.33
Mikkel Boedker,"OTT, S.J",L,165,1877.8833333333,16,41,23,18,57,70.37,202,7.92,17.94,331,263,211,97,14,23,14,7,7,0,0,22,53,55,100,113,56,12,22,35.29
Robert Thomas,STL,C,136,1617.75,14,43,29,14,57,77.03,136,10.29,12.76,219,177,159,79,8,15,22,10,10,0,0,8,47,74,25,138,34,206,281,42.30
Brady Skjei,"CAR, NYR",D,227,3952.9333333333,16,40,15,25,56,38.10,354,4.52,16.03,651,472,186,46,15,27,94,44,42,2,0,25,149,81,360,307,262,1,0,100.00
Alex Goligoski,ARI,D,224,3942.0166666667,11,45,20,25,56,40.00,257,4.28,9.65,582,359,126,22,23,34,52,26,26,0,0,13,149,34,251,295,338,1,0,100.00
Shea Weber,MTL,D,149,2607.4,21,35,18,17,56,47.86,298,7.05,9.37,622,451,98,15,11,48,55,26,25,1,0,14,122,22,274,122,186,0,0,-
Jean-Gabriel Pageau,"NYI, OTT",C,184,2525,28,28,13,15,56,65.88,289,9.69,24.83,469,397,245,131,14,29,43,20,19,1,0,31,79,62,297,217,120,1067,934,53.32
Alexander Wennberg,CBJ,C,198,2475.5,8,48,27,21,56,50.45,149,5.37,13.42,245,204,164,77,3,13,20,9,9,0,0,20,56,68,71,158,94,802,886,47.51
Artem Anisimov,"CHI, OTT",C,199,2472.3666666667,29,27,17,10,56,65.12,267,10.86,28.17,521,378,309,150,14,40,28,14,14,0,0,17,40,70,42,172,84,768,875,46.74
Alexander Steen,STL,L,196,2422.9,20,36,21,15,56,55.45,269,7.43,22.39,457,342,259,110,13,31,38,19,19,0,0,36,39,62,115,187,108,30,34,46.88
Brandon Tanev,"PIT, WPG",L,209,2401.5,22,34,14,20,56,72.73,266,8.27,21.52,464,365,260,118,14,31,44,19,17,2,0,49,58,62,665,427,119,3,7,30.00
Ivan Barbashev,STL,C,202,2190,25,31,21,10,56,78.87,159,15.72,19.85,313,247,225,111,4,19,36,15,13,2,0,32,54,77,290,170,76,373,461,44.72
Christian Dvorak,ARI,"C, L",168,2132.4833333333,23,33,23,10,56,60.87,227,10.13,25.38,373,305,264,150,9,33,28,14,14,0,0,12,51,44,139,213,82,954,859,52.62
Dominik Simon,PIT,C,168,2089.1,18,38,22,16,56,62.92,245,7.35,21.61,430,334,250,113,15,23,44,21,21,0,0,23,69,83,177,181,56,25,43,36.76
Antoine Roussel,"DAL, VAN",L,179,2055.95,19,37,28,9,56,66.67,203,9.36,21.46,383,300,225,116,20,22,132,54,50,2,2,44,48,37,225,248,97,33,29,53.23
Colin White,OTT,C,153,1996.1,15,41,18,23,56,68.29,178,8.43,18.31,323,256,203,97,16,26,51,22,21,1,0,30,70,50,78,195,74,561,654,46.17
Nick Leddy,NYI,D,222,3893.7,11,44,24,20,55,34.81,232,4.74,10.9,534,350,127,20,7,31,36,18,18,0,0,14,148,37,203,209,227,0,0,-
Brenden Dillon,"S.J, WSH",D,232,3733.4666666667,6,49,23,26,55,33.13,203,2.96,7.73,509,322,104,12,11,28,121,53,48,5,0,20,83,33,557,332,215,0,0,-
Matt Dumba,MIN,D,183,3327.9833333333,20,35,15,20,55,35.48,297,6.73,12.18,655,424,141,24,11,27,66,33,33,0,0,17,79,40,247,175,187,2,0,100.00
Travis Sanheim,PHI,D,200,3254.8166666667,15,40,24,16,55,37.16,254,5.91,12.43,539,349,133,37,8,33,62,30,30,0,0,19,127,41,104,264,214,0,0,-
Kyle Okposo,BUF,R,206,2487.2333333333,23,32,22,10,55,69.62,287,8.01,23.2,470,374,260,115,20,29,69,32,31,1,0,29,58,50,200,187,72,96,98,49.48
Sam Bennett,CGY,C,205,2378.1,27,28,20,8,55,68.75,310,8.71,31.59,568,449,363,170,21,43,110,52,50,2,0,37,77,89,341,187,68,206,183,52.96
Matt Nieto,COL,L,208,2341.5666666667,19,36,22,14,55,60.44,215,8.84,20.53,372,298,239,104,4,23,24,12,12,0,0,21,32,42,108,239,78,3,5,37.50
Marc-Edouard Vlasic,S.J,D,223,3779.3166666667,14,40,16,24,54,36.49,261,5.36,11.81,651,406,172,31,11,40,20,10,10,0,0,11,119,46,73,233,307,0,0,-
Mike Matheson,FLA,D,215,3720.1,20,34,15,19,54,33.54,336,5.95,13.53,668,467,173,32,18,25,70,34,34,0,0,28,237,153,145,245,241,0,0,-
Josh Manson,ANA,D,204,3583.4833333333,10,44,23,21,54,38.30,254,3.94,11.02,508,361,144,28,19,17,116,49,43,6,0,17,149,77,400,260,186,0,0,-
Riley Nash,"BOS, CBJ",C,218,2425.5833333333,18,36,22,14,54,67.50,233,7.73,21.22,371,299,234,115,17,33,33,15,14,1,0,18,33,105,219,296,127,730,797,47.81
Corey Perry,"ANA, DAL",R,159,2061.7666666667,20,34,23,11,54,69.23,238,8.40,24.7,437,329,284,134,12,25,71,30,28,1,1,26,69,42,133,136,78,4,16,20.00
Colton Parayko,STL,D,226,4204.9333333333,13,40,14,26,53,34.42,442,2.94,15.72,835,618,158,23,19,37,33,15,14,1,0,25,100,93,304,368,334,0,0,-
Jonas Brodin,MIN,D,224,3960,11,42,22,20,53,32.32,261,4.21,8.2,516,350,117,21,14,23,66,33,33,0,0,20,47,46,116,292,299,0,0,-
TJ Brodie,CGY,D,216,3807.7333333333,9,44,15,29,53,31.93,222,4.05,9.54,548,337,120,25,12,29,58,29,29,0,0,22,179,116,53,226,212,0,0,-
P.K. Subban,"N.J, NSH",D,213,3684.6333333333,19,34,24,10,53,35.81,368,5.16,10.53,712,507,114,7,11,48,105,51,50,1,0,39,172,59,220,198,198,0,0,-
Josh Morrissey,WPG,D,205,3583.2333333333,12,41,17,24,53,32.92,260,4.62,9.96,548,365,119,14,9,30,66,32,32,0,0,15,103,67,189,219,263,1,1,50.00
James Neal,"CGY, EDM, VGK",L,189,2479.8666666667,27,26,16,10,53,56.38,335,8.06,25.64,624,464,349,115,17,29,50,24,24,0,0,42,75,77,174,140,62,15,25,37.50
Joel Eriksson Ek,MIN,C,195,2322.45,19,34,21,13,53,59.55,317,5.99,26.81,471,386,268,144,18,40,52,26,26,0,0,33,35,41,325,283,86,708,814,46.52
Joel Armia,"MTL, WPG",R,194,2221.8333333333,27,26,17,9,53,60.92,330,8.18,27.65,573,433,316,136,19,44,36,18,18,0,0,36,61,100,305,128,68,8,26,23.53
Jack Roslovic,WPG,C,179,1965.2166666667,19,34,25,9,53,66.25,196,9.69,15.35,351,271,202,70,18,14,14,7,7,0,0,19,65,59,105,152,49,162,200,44.75
Jason Pominville,BUF,R,155,1859.5333333333,26,27,15,12,53,61.63,258,10.08,19.48,401,332,202,94,13,20,12,6,6,0,0,12,39,33,55,100,49,39,35,52.70
Wayne Simmonds,"BUF, N.J, NSH, PHI",R,222,2765.2333333333,21,31,19,12,52,64.20,292,7.19,27.33,520,395,309,148,13,32,98,39,34,4,1,32,68,84,388,190,102,28,46,37.84
Riley Sheahan,"DET, EDM, FLA, PIT",C,229,2506.65,21,31,18,13,52,62.65,245,8.57,24.12,389,328,250,118,22,23,24,12,12,0,0,29,63,84,136,277,91,1007,858,53.99
Tyson Jost,COL,C,202,2215.4333333333,20,32,17,15,52,61.90,274,7.30,22.96,468,347,294,127,16,30,50,24,24,0,0,49,28,65,134,329,73,197,359,35.43
Tyler Pitlick,"DAL, PHI",C,190,2146.0166666667,28,24,14,10,52,63.41,256,10.94,21.98,450,347,251,113,21,22,36,17,17,0,0,19,53,55,324,262,93,15,43,25.86
Oskar Sundqvist,STL,C,173,1910.4666666667,24,28,17,11,52,76.47,216,11.11,22.19,392,316,236,114,11,21,44,22,22,0,0,29,25,78,198,223,57,444,561,44.18
Erik Haula,"CAR, FLA, VGK","C, L",139,1816.95,24,28,15,13,52,64.20,219,10.96,21.48,387,317,252,114,14,17,42,21,21,0,0,23,57,68,115,179,52,769,692,52.64
Andreas Johnsson,TOR,L,125,1510.6666666667,21,31,18,13,52,65.00,180,11.67,15.88,296,241,185,84,8,15,36,18,18,0,0,19,42,38,99,143,62,9,16,36.00
Will Butcher,N.J,D,215,3147.4166666667,7,44,17,27,51,36.17,179,3.91,9.16,445,301,115,21,5,31,22,11,11,0,0,6,81,42,84,186,193,0,0,-
Ian Cole,"CBJ, COL, PIT",D,203,3102.9,10,41,14,27,51,38.35,240,4.17,9.31,523,349,109,15,2,35,152,66,61,4,1,18,89,55,263,327,285,0,0,-
Mattias Janmark,DAL,C,224,2834.9166666667,20,31,20,11,51,69.86,268,7.46,24.02,464,358,266,136,17,30,48,24,24,0,0,20,85,73,57,224,93,89,133,40.09
Milan Lucic,"CGY, EDM",L,229,2809.0833333333,14,37,22,15,51,48.57,242,5.79,25.5,490,370,298,139,17,41,106,44,38,6,0,16,132,70,679,223,65,63,61,50.81
Darren Helm,DET,"C, L",204,2528.4833333333,23,28,19,9,51,69.86,302,7.62,21.77,501,388,244,87,26,27,74,34,32,2,0,28,81,80,252,187,65,64,68,48.48
Colton Sissons,NSH,C,213,2473.4833333333,25,26,16,10,51,55.43,219,11.42,21.46,388,310,244,116,11,14,60,30,30,0,0,14,62,56,302,203,103,833,677,55.17
J.T. Compher,COL,L,202,2347.7166666667,23,28,17,11,51,65.38,252,9.13,22.56,431,334,268,108,19,23,44,21,21,0,0,29,36,44,100,177,141,581,636,47.74
Marcus Sorensen,S.J,L,178,2005.1666666667,26,25,16,9,51,63.75,187,13.90,22.67,316,253,239,126,8,30,31,14,13,1,0,30,42,62,164,171,50,17,28,37.78
Rasmus Ristolainen,BUF,D,220,3965.55,10,40,18,22,50,35.46,314,3.18,10.82,588,427,143,32,9,21,78,36,34,2,0,16,80,33,561,395,237,0,0,-
Brandon Montour,"ANA, BUF",D,216,3668.7,12,38,15,23,50,34.48,337,3.56,14.3,676,495,179,35,14,30,86,42,42,0,0,24,126,48,231,285,214,0,0,-
Erik Johnson,COL,D,201,3559.25,14,36,17,19,50,34.01,338,4.14,13.44,656,447,167,29,14,39,51,24,23,1,0,18,92,83,286,229,268,0,0,-
Brett Pesce,CAR,D,199,3452.4166666667,13,37,21,16,50,33.11,264,4.92,11.12,567,381,137,28,17,37,50,24,24,0,0,21,73,109,117,259,247,1,1,50.00
Kevin Shattenkirk,"NYR, T.B",D,189,3016.5333333333,9,41,21,20,50,41.67,262,3.44,9.81,520,350,133,24,11,22,74,35,35,0,0,18,123,76,173,268,219,0,0,-
Tony DeAngelo,NYR,D,161,2467.0166666667,13,37,18,19,50,41.32,250,5.20,10.5,434,322,113,31,6,20,70,32,30,2,0,19,149,33,119,178,163,0,0,-
Pavel Zacha,N.J,C,195,2274.1333333333,15,35,21,14,50,57.47,204,7.35,19.47,352,291,229,101,14,15,46,22,22,0,0,20,78,69,178,135,51,768,948,44.76
Nate Schmidt,VGK,D,196,3459.1,11,38,15,23,49,29.52,243,4.53,11.35,546,347,143,24,15,27,32,16,16,0,0,9,112,110,92,176,250,0,0,-
Ben Chiarot,"MTL, WPG",D,204,3380.1166666667,13,36,22,14,49,37.12,273,4.76,10.07,613,392,132,12,6,25,103,50,49,1,0,11,154,45,372,368,262,0,0,-
Vince Dunn,STL,D,224,3250.8166666667,15,34,17,17,49,33.11,326,4.60,13.39,668,423,188,34,10,35,54,27,27,0,0,19,103,54,120,270,162,1,1,50.00
Michal Kempny,"CHI, WSH",D,182,2928.1833333333,12,37,18,19,49,29.70,253,4.74,8.86,546,361,113,15,8,26,86,43,43,0,0,16,112,35,162,255,242,0,0,-
Noel Acciari,"BOS, FLA",C,198,2329.1166666667,33,16,9,7,49,62.82,253,13.04,25.64,435,348,289,133,10,32,37,17,16,1,0,27,35,72,484,305,132,479,467,50.63
Michael Raffl,PHI,L,201,2205.6333333333,21,28,15,13,49,58.33,203,10.34,20.07,338,280,227,111,17,16,52,26,26,0,0,27,63,67,242,267,86,132,134,49.62
Jordan Greenway,MIN,L,154,1929.3166666667,19,30,21,9,49,71.01,189,10.05,16.28,352,263,194,93,9,29,68,30,28,2,0,22,47,71,153,206,77,38,60,38.78
Cam Fowler,ANA,D,185,3352.7333333333,15,33,16,17,48,38.71,213,7.04,9.19,449,278,150,31,11,25,42,21,21,0,0,6,94,60,71,208,207,0,0,-
Frans Nielsen,DET,C,211,2480.1,21,27,11,16,48,60.76,266,7.89,19.25,444,352,207,80,16,23,28,14,14,0,0,16,57,48,161,215,113,943,1004,48.43
Sean Kuraly,BOS,C,215,2427.2666666667,16,32,16,16,48,68.57,323,4.95,22.54,523,421,270,108,29,29,88,37,34,2,1,32,78,82,393,257,70,763,744,50.63
Devin Shore,"ANA, CBJ, DAL",C,203,2317.2833333333,19,29,20,9,48,69.57,206,9.22,20.81,376,290,247,125,12,28,18,9,9,0,0,27,37,59,211,208,115,179,223,44.53
Mark Jankowski,CGY,C,207,2101.6666666667,25,23,13,10,48,75.00,205,12.20,22.64,405,318,261,112,12,28,49,23,22,1,0,16,69,91,75,140,112,887,872,50.43
Brendan Leipsic,"L.A, VAN, VGK, WSH",L,181,1941.05,13,35,25,10,48,65.75,200,6.50,16.91,366,273,194,80,12,23,34,16,16,0,0,25,68,63,141,146,68,18,20,47.37
Drake Caggiula,"CHI, EDM","C, L",162,1928.0833333333,27,21,13,8,48,57.14,225,12.00,21.96,362,290,240,126,14,23,65,29,28,1,0,30,46,55,353,190,67,30,70,30.00
Marcus Johansson,"BOS, BUF, N.J",L,147,1893.1,19,29,18,11,48,70.59,187,10.16,15.49,314,249,173,82,17,12,28,13,13,0,0,19,62,52,68,147,51,206,302,40.55
Alexander Edler,VAN,D,185,3230.55,10,37,16,21,47,37.90,297,3.37,8.58,625,416,130,16,9,22,126,63,63,0,0,22,99,36,347,337,380,1,1,50.00
Leo Komarov,"NYI, TOR","C, R",204,2390.55,9,38,17,21,47,55.95,205,4.39,17.82,324,286,201,107,9,16,63,29,28,1,0,25,71,71,504,170,91,147,160,47.88
Colton Sceviour,FLA,C,204,2107.7,20,27,19,8,47,61.04,312,6.41,24.38,482,403,249,120,15,49,12,6,6,0,0,16,70,56,253,226,134,145,179,44.75
